valid_time,d2m,t2m,latitude,longitude
2021-01-01 00:00:00,291.94672,292.73413,16.100000000000797,79.49999999999977
2021-01-01 01:00:00,291.94946,292.69397,16.100000000000797,79.49999999999977
2021-01-01 02:00:00,292.08694,292.9792,16.100000000000797,79.49999999999977
2021-01-01 03:00:00,292.4898,295.11334,16.100000000000797,79.49999999999977
2021-01-01 04:00:00,291.95224,297.1523,16.100000000000797,79.49999999999977
2021-01-01 05:00:00,291.25183,298.1477,16.100000000000797,79.49999999999977
2021-01-01 06:00:00,290.93362,299.18378,16.100000000000797,79.49999999999977
2021-01-01 07:00:00,290.6842,299.38867,16.100000000000797,79.49999999999977
2021-01-01 08:00:00,290.49493,299.78568,16.100000000000797,79.49999999999977
2021-01-01 09:00:00,290.13647,300.03287,16.100000000000797,79.49999999999977
2021-01-01 10:00:00,289.69366,300.0467,16.100000000000797,79.49999999999977
2021-01-01 11:00:00,289.26825,299.855,16.100000000000797,79.49999999999977
2021-01-01 12:00:00,289.63495,298.98535,16.100000000000797,79.49999999999977
2021-01-01 13:00:00,289.62756,297.61353,16.100000000000797,79.49999999999977
2021-01-01 14:00:00,289.71222,296.1781,16.100000000000797,79.49999999999977
2021-01-01 15:00:00,289.96646,295.0066,16.100000000000797,79.49999999999977
2021-01-01 16:00:00,290.22906,294.09073,16.100000000000797,79.49999999999977
2021-01-01 17:00:00,290.41324,293.25543,16.100000000000797,79.49999999999977
2021-01-01 18:00:00,290.55994,292.47202,16.100000000000797,79.49999999999977
2021-01-01 19:00:00,290.76028,293.34982,16.100000000000797,79.49999999999977
2021-01-01 20:00:00,290.72595,292.9958,16.100000000000797,79.49999999999977
2021-01-01 21:00:00,290.32614,291.87177,16.100000000000797,79.49999999999977
2021-01-01 22:00:00,289.91516,290.91583,16.100000000000797,79.49999999999977
2021-01-01 23:00:00,289.7127,290.4746,16.100000000000797,79.49999999999977
2021-01-02 00:00:00,289.53412,290.18408,16.100000000000797,79.49999999999977
2021-01-02 01:00:00,289.41592,290.02805,16.100000000000797,79.49999999999977
2021-01-02 02:00:00,290.0744,290.8708,16.100000000000797,79.49999999999977
2021-01-02 03:00:00,291.52863,294.45804,16.100000000000797,79.49999999999977
2021-01-02 04:00:00,291.70728,296.4569,16.100000000000797,79.49999999999977
2021-01-02 05:00:00,291.0362,297.91428,16.100000000000797,79.49999999999977
2021-01-02 06:00:00,290.60446,299.4045,16.100000000000797,79.49999999999977
2021-01-02 07:00:00,290.28967,300.2024,16.100000000000797,79.49999999999977
2021-01-02 08:00:00,289.9645,300.93292,16.100000000000797,79.49999999999977
2021-01-02 09:00:00,289.5354,301.27612,16.100000000000797,79.49999999999977
2021-01-02 10:00:00,289.13065,301.23425,16.100000000000797,79.49999999999977
2021-01-02 11:00:00,288.8344,300.81604,16.100000000000797,79.49999999999977
2021-01-02 12:00:00,289.3164,299.40796,16.100000000000797,79.49999999999977
2021-01-02 13:00:00,289.23633,297.77106,16.100000000000797,79.49999999999977
2021-01-02 14:00:00,289.46896,296.38986,16.100000000000797,79.49999999999977
2021-01-02 15:00:00,290.02057,295.27087,16.100000000000797,79.49999999999977
2021-01-02 16:00:00,290.5112,294.35953,16.100000000000797,79.49999999999977
2021-01-02 17:00:00,290.7972,293.5597,16.100000000000797,79.49999999999977
2021-01-02 18:00:00,291.07132,292.84668,16.100000000000797,79.49999999999977
2021-01-02 19:00:00,290.82166,292.49863,16.100000000000797,79.49999999999977
2021-01-02 20:00:00,290.84467,293.18958,16.100000000000797,79.49999999999977
2021-01-02 21:00:00,290.78958,292.7928,16.100000000000797,79.49999999999977
2021-01-02 22:00:00,290.66098,292.3672,16.100000000000797,79.49999999999977
2021-01-02 23:00:00,290.34198,291.6678,16.100000000000797,79.49999999999977
2021-01-03 00:00:00,289.94003,290.89246,16.100000000000797,79.49999999999977
2021-01-03 01:00:00,289.72638,290.52838,16.100000000000797,79.49999999999977
2021-01-03 02:00:00,290.40445,291.42328,16.100000000000797,79.49999999999977
2021-01-03 03:00:00,291.46948,294.24026,16.100000000000797,79.49999999999977
2021-01-03 04:00:00,291.43246,296.31842,16.100000000000797,79.49999999999977
2021-01-03 05:00:00,290.9386,297.56378,16.100000000000797,79.49999999999977
2021-01-03 06:00:00,290.66144,298.8521,16.100000000000797,79.49999999999977
2021-01-03 07:00:00,289.57062,299.49268,16.100000000000797,79.49999999999977
2021-01-03 08:00:00,289.40973,300.04962,16.100000000000797,79.49999999999977
2021-01-03 09:00:00,289.32556,300.4787,16.100000000000797,79.49999999999977
2021-01-03 10:00:00,289.25485,300.48114,16.100000000000797,79.49999999999977
2021-01-03 11:00:00,289.1706,300.03757,16.100000000000797,79.49999999999977
2021-01-03 12:00:00,289.6157,298.78113,16.100000000000797,79.49999999999977
2021-01-03 13:00:00,289.71973,297.16397,16.100000000000797,79.49999999999977
2021-01-03 14:00:00,289.97534,295.9228,16.100000000000797,79.49999999999977
