valid_time,u10,v10,latitude,longitude
2021-01-01 00:00:00,0.14797878,-0.58247375,16.100000000000797,79.49999999999977
2021-01-01 01:00:00,-0.024522781,-0.5999603,16.100000000000797,79.49999999999977
2021-01-01 02:00:00,-0.27669144,-0.4584198,16.100000000000797,79.49999999999977
2021-01-01 03:00:00,-1.1824741,-0.23782349,16.100000000000797,79.49999999999977
2021-01-01 04:00:00,-3.1995344,0.75231934,16.100000000000797,79.49999999999977
2021-01-01 05:00:00,-3.45792,0.8149872,16.100000000000797,79.49999999999977
2021-01-01 06:00:00,-3.3019829,0.6207733,16.100000000000797,79.49999999999977
2021-01-01 07:00:00,-3.0600815,-0.057418823,16.100000000000797,79.49999999999977
2021-01-01 08:00:00,-2.8209076,0.0030212402,16.100000000000797,79.49999999999977
2021-01-01 09:00:00,-2.8081665,0.05986023,16.100000000000797,79.49999999999977
2021-01-01 10:00:00,-2.6308746,0.20611572,16.100000000000797,79.49999999999977
2021-01-01 11:00:00,-2.329071,0.35827637,16.100000000000797,79.49999999999977
2021-01-01 12:00:00,-1.453598,0.70259094,16.100000000000797,79.49999999999977
2021-01-01 13:00:00,-1.2901154,1.3986511,16.100000000000797,79.49999999999977
2021-01-01 14:00:00,-1.1604462,1.8529968,16.100000000000797,79.49999999999977
2021-01-01 15:00:00,-1.1216621,1.9807587,16.100000000000797,79.49999999999977
2021-01-01 16:00:00,-1.0074005,1.8399353,16.100000000000797,79.49999999999977
2021-01-01 17:00:00,-0.74823,1.549118,16.100000000000797,79.49999999999977
2021-01-01 18:00:00,-0.3712139,1.1112366,16.100000000000797,79.49999999999977
2021-01-01 19:00:00,0.39810562,0.4965515,16.100000000000797,79.49999999999977
2021-01-01 20:00:00,0.62948036,-0.16471863,16.100000000000797,79.49999999999977
2021-01-01 21:00:00,0.6717472,-0.7320099,16.100000000000797,79.49999999999977
2021-01-01 22:00:00,0.74587345,-0.91729736,16.100000000000797,79.49999999999977
2021-01-01 23:00:00,0.7326355,-0.98657227,16.100000000000797,79.49999999999977
2021-01-02 00:00:00,0.66740227,-1.0620728,16.100000000000797,79.49999999999977
2021-01-02 01:00:00,0.45788193,-1.1665039,16.100000000000797,79.49999999999977
2021-01-02 02:00:00,0.16577148,-1.0113678,16.100000000000797,79.49999999999977
2021-01-02 03:00:00,-0.7309427,-1.1555786,16.100000000000797,79.49999999999977
2021-01-02 04:00:00,-2.164402,-1.0168304,16.100000000000797,79.49999999999977
2021-01-02 05:00:00,-2.5642166,-0.9915924,16.100000000000797,79.49999999999977
2021-01-02 06:00:00,-3.1131048,-1.2138958,16.100000000000797,79.49999999999977
2021-01-02 07:00:00,-2.8099632,-1.1609383,16.100000000000797,79.49999999999977
2021-01-02 08:00:00,-2.878296,-0.7892227,16.100000000000797,79.49999999999977
2021-01-02 09:00:00,-2.979828,-0.30719948,16.100000000000797,79.49999999999977
2021-01-02 10:00:00,-2.9750519,0.060726166,16.100000000000797,79.49999999999977
2021-01-02 11:00:00,-2.7176208,0.2882862,16.100000000000797,79.49999999999977
2021-01-02 12:00:00,-1.7363281,0.68808556,16.100000000000797,79.49999999999977
2021-01-02 13:00:00,-1.486023,1.4678135,16.100000000000797,79.49999999999977
2021-01-02 14:00:00,-1.2273865,1.9034367,16.100000000000797,79.49999999999977
2021-01-02 15:00:00,-1.1366882,1.92418,16.100000000000797,79.49999999999977
2021-01-02 16:00:00,-0.958786,1.6307812,16.100000000000797,79.49999999999977
2021-01-02 17:00:00,-0.77604675,1.451333,16.100000000000797,79.49999999999977
2021-01-02 18:00:00,-0.4315033,1.1918535,16.100000000000797,79.49999999999977
2021-01-02 19:00:00,-0.17208862,0.97251797,16.100000000000797,79.49999999999977
2021-01-02 20:00:00,-0.129776,0.4360466,16.100000000000797,79.49999999999977
2021-01-02 21:00:00,-0.28723717,-0.17772198,16.100000000000797,79.49999999999977
2021-01-02 22:00:00,-0.50437737,-0.5056267,16.100000000000797,79.49999999999977
2021-01-02 23:00:00,-0.6752596,-0.671669,16.100000000000797,79.49999999999977
2021-01-03 00:00:00,-0.78683186,-0.8029251,16.100000000000797,79.49999999999977
2021-01-03 01:00:00,-0.7144308,-0.94415,16.100000000000797,79.49999999999977
2021-01-03 02:00:00,-0.39395142,-0.77468014,16.100000000000797,79.49999999999977
2021-01-03 03:00:00,-1.0877151,-0.46952248,16.100000000000797,79.49999999999977
2021-01-03 04:00:00,-2.9851837,0.22524261,16.100000000000797,79.49999999999977
2021-01-03 05:00:00,-2.795723,0.45200348,16.100000000000797,79.49999999999977
2021-01-03 06:00:00,-2.4387407,0.67705345,16.100000000000797,79.49999999999977
2021-01-03 07:00:00,-2.2437134,0.57290363,16.100000000000797,79.49999999999977
2021-01-03 08:00:00,-2.257309,0.66235924,16.100000000000797,79.49999999999977
